REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,confirmed_count,death_count,2020-01-21,2020-01-24,2020-01-26,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-05,2020-02-10,2020-02-12,2020-02-13,2020-02-18,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,d2020-01-21,d2020-01-24,d2020-01-26,d2020-01-30,d2020-01-31,d2020-02-01,d2020-02-02,d2020-02-05,d2020-02-10,d2020-02-12,d2020-02-13,d2020-02-18,d2020-02-20,d2020-02-21,d2020-02-24,d2020-02-25,d2020-02-26,d2020-02-27,d2020-02-28,d2020-02-29,d2020-03-01,d2020-03-02,d2020-03-03,d2020-03-04,d2020-03-05,d2020-03-06,d2020-03-07,d2020-03-08,d2020-03-09,d2020-03-10,d2020-03-11,d2020-03-12,d2020-03-13,d2020-03-14,d2020-03-15,d2020-03-16,d2020-03-17,d2020-03-18,d2020-03-19,d2020-03-20,d2020-03-21,d2020-03-22,d2020-03-23,d2020-03-24,d2020-03-25,d2020-03-26,population,ObjectId,Shape__Area,Shape__Length,2020-02-06,2020-01-29,2020-02-08,2020-02-09,2020-01-22,2020-01-25,2020-02-19,2020-02-16,2020-01-27,2020-01-23,2020-02-14,2020-01-28,2020-02-04,2020-02-22,2020-02-15,2020-02-11,2020-02-03,2020-02-23,2020-02-17,2020-02-07
3,7,22,1629543,22,LA,Louisiana,0,G4000,A,1.119048E+11,2.374641E+10,30.86344,-91.79871,2303,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,6,16,41,27,33,60,81,115,145,229,71,331,219,408,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,3,6,0,16,11,19,18,4663616,21,184990612230.168,2707989.76748206,,,,,,,,,,,,,,,,,,,,
3,5,13,1705317,13,GA,Georgia,0,G4000,A,1.491775E+11,4.733386E+09,32.62958,-83.42351,1642,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,4,5,4,12,8,0,33,36,12,23,57,86,194,64,78,178,289,280,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,4,6,5,1,14,9,0,10297484,22,218100784648.412,2156611.20053826,,,,,,,,,,,,,,,,,,,,
3,6,1,1779775,1,AL,Alabama,0,G4000,A,1.311744E+11,4.592945E+09,32.73963,-86.84346,535,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,7,10,13,26,28,25,26,39,46,192,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4864680,23,192297465721.219,2028681.69655616,,,,,,,,,,,,,,,,,,,,
4,8,49,1455989,49,UT,Utah,0,G4000,A,2.128848E+11,7.0002E+09,39.33499,-111.6563,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,17,4,13,10,13,14,34,24,44,77,41,48,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3045350,24,368464191385.891,2556414.92485165,,,,,,,,,,,,,,,,,,,,
2,3,39,1085497,39,OH,Ohio,0,G4000,A,1.058333E+11,1.026445E+10,40.41493,-82.712,870,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,8,15,9,13,17,22,31,52,78,106,87,123,139,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,3,4,11641879,25,200853087703.195,2045061.69505264,,,,,,,,,,,,,,,,,,,,
3,7,48,1779801,48,TX,Texas,0,G4000,A,6.766419E+11,1.901752E+10,31.4347,-99.28182,1665,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,3,1,8,2,9,19,13,13,19,38,94,93,117,127,112,135,222,330,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,1,4,5,6,27885195,26,961303248842.299,5775673.7609429,,,,,,,,,,,,,,,,,,,,
4,8,8,1779779,8,CO,Colorado,0,G4000,A,2.68426E+11,1.178496E+09,38.99385,-105.5083,1430,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,5,17,15,28,25,31,11,25,49,2,121,137,117,128,188,176,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,1,0,1,11,8,5531141,27,447339846502.941,2706665.22478353,,,,,,,,,,,,,,,,,,,,
3,5,45,1779799,45,SC,South Carolina,0,G4000,A,7.786273E+10,5.071382E+09,33.87418,-80.85426,456,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,1,2,1,6,9,7,13,13,20,45,46,21,104,43,84,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2,4955925,28,120540893726.025,1586832.50828093,,,,,,,,,,,,,,,,,,,,
3,7,40,1102857,40,OK,Oklahoma,0,G4000,A,1.776644E+11,3.373087E+09,35.59005,-97.48682,248,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,3,7,12,15,5,4,14,14,25,58,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,3918137,29,274535047408.629,3058610.90715126,,,,,,,,,,,,,,,,,,,,
3,6,47,1325873,47,TN,Tennessee,0,G4000,A,1.06798E+11,2.354836E+09,35.85855,-86.34936,1098,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,2,9,9,5,7,13,26,20,56,103,112,129,88,194,136,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6651089,30,165937915154.645,2467731.75908021,,,,,,,,,,,,,,,,,,,,
4,8,56,1779807,56,WY,Wyoming,0,G4000,A,2.514656E+11,1.860628E+09,42.9918,-107.5419,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,5,3,0,4,2,2,2,8,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581836,31,474280589861.148,2775627.00957171,,,,,,,,,,,,,,,,,,,,
4,9,15,1779782,15,HI,Hawaii,0,G4000,A,1.663412E+10,1.177768E+10,22.01204,-159.706,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,3,5,2,10,11,11,8,21,11,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422029,32,31760407018.3281,2321500.64479304,,,,,,,,,,,,,,,,,,,,
2,4,38,1779797,38,ND,North Dakota,0,G4000,A,1.787104E+11,4.400397E+09,47.44217,-100.4608,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,12,7,2,2,2,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752201,33,400481667855.633,2667442.92476046,,,,,,,,,,,,,,,,,,,,
3,6,21,1779786,21,KY,Kentucky,0,G4000,A,1.022661E+11,2.388732E+09,37.53368,-85.29298,248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,3,3,4,3,4,1,3,19,16,23,16,21,39,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,4440204,34,166563207280.754,2534979.33119575,,,,,,,,,,,,,,,,,,,,
9,0,78,1802710,78,VI,United States Virgin Islands,0,G4000,A,3.480137E+08,1.550244E+09,18.32675,-64.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2007303179.91309,278392.313387596,,,,,,,,,,,,,,,,,,,,
9,0,69,1779809,69,MP,Commonwealth of the Northern Mariana Islands,0,G4000,A,4.722844E+08,4.644261E+09,14.93678,145.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5175307232.76953,928576.32656422,,,,,,,,,,,,,,,,,,,,
9,0,66,1802705,66,GU,Guam,0,G4000,A,5.435583E+08,9.34335E+08,13.43829,144.7729,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,4,2,1,12,2,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,1493211730.90625,170691.008394966,,,,,,,,,,,,,,,,,,,,
1,1,23,1779787,23,ME,Maine,0,G4000,A,7.988581E+10,1.174817E+10,45.40928,-68.6666,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,5,12,7,4,17,13,16,21,12,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332813,38,184975122021.914,2282832.6025487,,,,,,,,,,,,,,,,,,,,
1,2,36,1779796,36,NY,New York,0,G4000,A,1.22049E+11,1.924715E+10,42.9134,-75.59628,39140,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,11,22,45,19,34,34,40,109,96,194,131,223,438,1147,3143,2831,3793,4570,4834,4662,6648,6103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,1,17,22,19,73,36,86,96,95,19618453,39,263664138919.066,3114036.66315859,,,,,,,,,,,,,,,,,,,,
4,8,32,1779793,32,NV,Nevada,0,G4000,A,2.843293E+11,2.047351E+09,39.33109,-116.6152,443,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,4,9,1,5,19,10,31,7,63,3,26,78,43,9,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,4,0,2922849,40,481563145420.055,3023115.26460189,,,,,,,,,,,,,,,,,,,,
4,9,2,1785533,2,AK,Alaska,0,G4000,A,1.478588E+12,2.777239E+11,63.28132,-152.573,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,2,7,9,4,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,738516,41,9104759353965.13,33427651.9886332,,,,,,,,,,,,,,,,,,,,
